*CREATOR
msr_cutter.exe,[V5.28.00]
msr2csv.exe,[V5.28.00]

*STARTTIME
6/30/2016,10:34:52 AM,

*MODUL
NAME,MSR308918,MSR308918,MSR308918,MSR308918,MSR308918
*NAME
NAME,FH Logger,FH Logger,FH Logger,FH Logger,FH Logger

ID,[C26113 V5.24],[C26113 V5.24],[C26113 V5.24],[C26113 V5.24],[C26113 V5.24]

*CHANNEL
TIME,p,T_p,RH,T_RH,T

*UNIT
,mbar,°C,%,°C,°C

*LIMITS
ALARM,,,,,
RECRD,,,,,
LIMIT1,,,,,
LIMIT2,,,,,

*DATA
6/30/2016 10:35:47 AM.719,995.1,26.7000007629395,53.3,24.9899997711182,24.6
6/30/2016 10:35:48 AM.719,995.1,26.7000007629395,53.3,24.9799995422363,24.6
6/30/2016 10:35:49 AM.719,995.0,26.6000003814697,53.3,24.9899997711182,24.6
6/30/2016 10:35:50 AM.719,995.2,26.6000003814697,53.3,25,24.6
6/30/2016 10:35:51 AM.719,995.2,26.6000003814697,53.3,25,24.6
6/30/2016 10:35:52 AM.719,995.2,26.6000003814697,53.3,25,24.5
6/30/2016 10:35:53 AM.719,995.2,26.6000003814697,53.2,25.0200004577637,24.6
6/30/2016 10:35:54 AM.719,995.2,26.6000003814697,53.3,25.0100002288818,24.5
6/30/2016 10:35:55 AM.719,995.2,26.6000003814697,53.3,25.0200004577637,24.6
6/30/2016 10:35:56 AM.719,995.2,26.6000003814697,53.4,25.0100002288818,24.6
6/30/2016 10:35:57 AM.719,995.2,26.6000003814697,53.4,25,24.6
6/30/2016 10:35:58 AM.719,995.1,26.6000003814697,53.5,25,24.6
6/30/2016 10:35:59 AM.719,995.2,26.6000003814697,53.5,25.0200004577637,24.6
6/30/2016 10:36:00 AM.719,995.2,26.6000003814697,53.6,25.0100002288818,24.6
6/30/2016 10:36:01 AM.719,995.2,26.6000003814697,53.6,25,24.5
6/30/2016 10:36:02 AM.719,995.2,26.6000003814697,53.6,24.9899997711182,24.5
6/30/2016 10:36:03 AM.719,995.2,26.6000003814697,53.7,25,24.5
6/30/2016 10:36:04 AM.719,995.2,26.5,53.8,24.9899997711182,24.5
6/30/2016 10:36:05 AM.719,995.2,26.5,53.8,25,24.5
6/30/2016 10:36:06 AM.719,995.2,26.5,53.8,24.9799995422363,24.5
6/30/2016 10:36:07 AM.719,995.1,26.5,53.8,24.9899997711182,24.5
6/30/2016 10:36:08 AM.719,995.2,26.5,53.8,25,24.5
6/30/2016 10:36:09 AM.719,995.2,26.5,53.8,24.9799995422363,24.5
6/30/2016 10:36:10 AM.719,995.1,26.5,53.7,24.9899997711182,24.5
6/30/2016 10:36:11 AM.719,995.1,26.5,53.5,24.9699993133545,24.5
6/30/2016 10:36:12 AM.719,995.2,26.5,53.4,24.9899997711182,24.5
6/30/2016 10:36:13 AM.719,995.1,26.5,53.2,24.9899997711182,24.5
6/30/2016 10:36:14 AM.719,995.2,26.5,53.1,25,24.5
6/30/2016 10:36:15 AM.719,995.2,26.5,53.0,25,24.5
6/30/2016 10:36:16 AM.719,995.2,26.5,52.9,24.9899997711182,24.5
6/30/2016 10:36:17 AM.719,995.1,26.5,52.8,24.9799995422363,24.4
6/30/2016 10:36:18 AM.719,995.2,26.3999996185303,52.7,24.9799995422363,24.4
6/30/2016 10:36:19 AM.719,995.1,26.3999996185303,52.7,24.9699993133545,24.4
6/30/2016 10:36:20 AM.719,995.1,26.3999996185303,52.6,24.9699993133545,24.4
6/30/2016 10:36:21 AM.719,995.2,26.3999996185303,52.6,24.9699993133545,24.4
6/30/2016 10:36:22 AM.719,995.1,26.3999996185303,52.6,24.9899997711182,24.4
6/30/2016 10:36:23 AM.719,995.1,26.3999996185303,52.6,25,24.4
6/30/2016 10:36:24 AM.719,995.1,26.3999996185303,52.5,24.9899997711182,24.4
6/30/2016 10:36:25 AM.719,995.1,26.3999996185303,52.5,24.9899997711182,24.5
6/30/2016 10:36:26 AM.719,995.1,26.3999996185303,52.5,25,24.4
6/30/2016 10:36:27 AM.719,995.1,26.3999996185303,52.5,24.9799995422363,24.5
6/30/2016 10:36:28 AM.719,995.1,26.3999996185303,52.5,25,24.5
6/30/2016 10:36:29 AM.719,995.2,26.2999992370605,52.6,24.9699993133545,24.5
6/30/2016 10:36:30 AM.719,995.1,26.2999992370605,52.7,25,24.5
6/30/2016 10:36:31 AM.719,995.1,26.2999992370605,52.6,24.9799995422363,24.5
6/30/2016 10:36:32 AM.719,995.1,26.2999992370605,52.7,25.0100002288818,24.5
6/30/2016 10:36:33 AM.719,995.2,26.2999992370605,52.7,25.0100002288818,24.5
6/30/2016 10:36:34 AM.719,995.1,26.2999992370605,52.7,25,24.5
6/30/2016 10:36:35 AM.719,995.2,26.2999992370605,52.7,25,24.5
6/30/2016 10:36:36 AM.719,995.1,26.2999992370605,52.6,24.9899997711182,24.5
6/30/2016 10:36:37 AM.719,995.2,26.2999992370605,52.6,25,24.5
6/30/2016 10:36:38 AM.719,995.2,26.2999992370605,52.6,24.9799995422363,24.5
6/30/2016 10:36:39 AM.719,995.2,26.2999992370605,52.7,25,24.5
6/30/2016 10:36:40 AM.719,995.2,26.2999992370605,52.7,25,24.5
6/30/2016 10:36:41 AM.719,995.2,26.2999992370605,52.7,25,24.5
6/30/2016 10:36:42 AM.719,995.3,26.2999992370605,52.7,25.0300006866455,24.6
6/30/2016 10:36:43 AM.719,995.3,26.2000007629395,52.8,25.0400009155273,24.6
6/30/2016 10:36:44 AM.719,995.2,26.2000007629395,52.8,25.0400009155273,24.6
6/30/2016 10:36:45 AM.719,995.2,26.2000007629395,52.9,25.0400009155273,24.6
6/30/2016 10:36:46 AM.719,995.2,26.2000007629395,53.1,25.0400009155273,24.6
6/30/2016 10:36:47 AM.719,995.2,26.2000007629395,53.1,25.0599994659424,24.6
6/30/2016 10:36:48 AM.719,995.1,26.2000007629395,53.2,25.0599994659424,24.6
6/30/2016 10:36:49 AM.719,995.2,26.2000007629395,53.3,25.0599994659424,24.6
6/30/2016 10:36:50 AM.719,995.2,26.2000007629395,53.3,25.0599994659424,24.6
6/30/2016 10:36:51 AM.719,995.1,26.2000007629395,53.3,25.0599994659424,24.6
6/30/2016 10:36:52 AM.719,995.3,26.2000007629395,53.4,25.0699996948242,24.6
6/30/2016 10:36:53 AM.719,995.1,26.2000007629395,53.3,25.0599994659424,24.6
6/30/2016 10:36:54 AM.719,995.2,26.2000007629395,53.3,25.0499992370605,24.6
6/30/2016 10:36:55 AM.719,995.2,26.2000007629395,53.3,25.0499992370605,24.6
6/30/2016 10:36:56 AM.719,995.2,26.2000007629395,53.3,25.0599994659424,24.6
6/30/2016 10:36:57 AM.719,995.2,26.1000003814697,53.2,25.0799999237061,24.6
6/30/2016 10:36:58 AM.719,995.2,26.1000003814697,53.2,25.1000003814697,24.6
6/30/2016 10:36:59 AM.719,995.1,26.1000003814697,53.1,25.0799999237061,24.6
6/30/2016 10:37:00 AM.719,995.1,26.1000003814697,53.1,25.0799999237061,24.6
6/30/2016 10:37:01 AM.719,995.1,26.1000003814697,53.1,25.1000003814697,24.6
6/30/2016 10:37:02 AM.719,995.2,26.1000003814697,53.0,25.0799999237061,24.6
6/30/2016 10:37:03 AM.719,995.2,26.1000003814697,53.0,25.1000003814697,24.6
6/30/2016 10:37:04 AM.719,995.2,26.1000003814697,52.9,25.0900001525879,24.6
6/30/2016 10:37:05 AM.719,995.3,26.1000003814697,52.9,25.1000003814697,24.6
6/30/2016 10:37:06 AM.719,995.2,26.1000003814697,52.8,25.1000003814697,24.6
6/30/2016 10:37:07 AM.719,995.2,26.1000003814697,52.8,25.1000003814697,24.6
6/30/2016 10:37:08 AM.719,995.0,26.1000003814697,52.8,25.1200008392334,24.6
6/30/2016 10:37:09 AM.719,995.1,26.1000003814697,52.8,25.1299991607666,24.6
6/30/2016 10:37:10 AM.719,995.1,26.1000003814697,52.7,25.1299991607666,24.6
6/30/2016 10:37:11 AM.719,995.2,26.1000003814697,52.7,25.1200008392334,24.7
6/30/2016 10:37:12 AM.719,995.2,26.1000003814697,52.6,25.1399993896484,24.6
6/30/2016 10:37:13 AM.719,995.2,26.1000003814697,52.5,25.1200008392334,24.6
6/30/2016 10:37:14 AM.719,995.2,26.1000003814697,52.4,25.1299991607666,24.6
6/30/2016 10:37:15 AM.719,995.3,26,52.2,25.1000003814697,24.6
6/30/2016 10:37:16 AM.719,995.3,26,52.1,25.1000003814697,24.6
6/30/2016 10:37:17 AM.719,995.2,26,52.1,25.1100006103516,24.6
6/30/2016 10:37:18 AM.719,995.1,26,52.0,25.0799999237061,24.6
6/30/2016 10:37:19 AM.719,995.1,26,52.0,25.1100006103516,24.6
6/30/2016 10:37:20 AM.719,995.2,26,52.0,25.0900001525879,24.6
6/30/2016 10:37:21 AM.719,995.2,26,51.9,25.1100006103516,24.6
6/30/2016 10:37:22 AM.719,995.2,26,51.8,25.1100006103516,24.6
6/30/2016 10:37:23 AM.719,995.3,26,51.8,25.0900001525879,24.6
6/30/2016 10:37:24 AM.719,995.2,26,51.7,25.0699996948242,24.6
6/30/2016 10:37:25 AM.719,995.1,26,51.7,25.0799999237061,24.6
6/30/2016 10:37:26 AM.719,995.2,26,51.7,25.0900001525879,24.6
6/30/2016 10:37:27 AM.719,995.2,26,51.6,25.1000003814697,24.6
6/30/2016 10:37:28 AM.719,995.2,26,51.5,25.0799999237061,24.6
6/30/2016 10:37:29 AM.719,995.1,26,51.5,25.0599994659424,24.6
6/30/2016 10:37:30 AM.719,995.2,26,51.5,25.0699996948242,24.5
6/30/2016 10:37:31 AM.719,995.2,26,51.5,25.0699996948242,24.5
6/30/2016 10:37:32 AM.719,995.2,26,51.5,25.0499992370605,24.6
6/30/2016 10:37:33 AM.719,995.1,25.8999996185303,51.5,25.0599994659424,24.5
6/30/2016 10:37:34 AM.719,995.1,25.8999996185303,51.5,25.0799999237061,24.5
6/30/2016 10:37:35 AM.719,995.1,25.8999996185303,51.5,25.0799999237061,24.5
6/30/2016 10:37:36 AM.719,995.1,25.8999996185303,51.5,25.0699996948242,24.5
6/30/2016 10:37:37 AM.719,995.2,25.8999996185303,51.5,25.0400009155273,24.5
6/30/2016 10:37:38 AM.719,995.1,25.8999996185303,51.4,25.0499992370605,24.5
6/30/2016 10:37:39 AM.719,995.1,25.8999996185303,51.4,25.0400009155273,24.5
6/30/2016 10:37:40 AM.719,995.2,25.8999996185303,51.3,25.0300006866455,24.5
6/30/2016 10:37:41 AM.719,995.2,25.8999996185303,51.4,25.0200004577637,24.4
6/30/2016 10:37:42 AM.719,995.3,25.8999996185303,51.4,25.0400009155273,24.4
6/30/2016 10:37:43 AM.719,995.1,25.8999996185303,51.4,25,24.4
6/30/2016 10:37:44 AM.719,995.1,25.8999996185303,51.5,24.9799995422363,24.4
6/30/2016 10:37:45 AM.719,995.2,25.8999996185303,51.6,24.9799995422363,24.4
6/30/2016 10:37:46 AM.719,995.1,25.8999996185303,51.7,24.9500007629395,24.4
6/30/2016 10:37:47 AM.719,995.2,25.8999996185303,51.7,24.9500007629395,24.4
6/30/2016 10:37:48 AM.719,995.2,25.8999996185303,51.8,24.9200000762939,24.4
6/30/2016 10:37:49 AM.719,995.2,25.8999996185303,51.8,24.9500007629395,24.4
6/30/2016 10:37:50 AM.719,995.3,25.8999996185303,51.8,24.9500007629395,24.4
6/30/2016 10:37:51 AM.719,995.2,25.7999992370605,51.9,24.9400005340576,24.4
6/30/2016 10:37:52 AM.719,995.3,25.7999992370605,51.9,24.9400005340576,24.4
6/30/2016 10:37:53 AM.719,995.1,25.7999992370605,52.0,24.9500007629395,24.4
6/30/2016 10:37:54 AM.719,995.2,25.7999992370605,52.1,24.9699993133545,24.4
6/30/2016 10:37:55 AM.719,995.1,25.7999992370605,52.2,24.9599990844727,24.4
6/30/2016 10:37:56 AM.719,995.2,25.7999992370605,52.2,24.9500007629395,24.4
6/30/2016 10:37:57 AM.719,995.3,25.7999992370605,52.2,24.9799995422363,24.4
6/30/2016 10:37:58 AM.719,995.2,25.7999992370605,52.2,24.9799995422363,24.4
6/30/2016 10:37:59 AM.719,995.2,25.7999992370605,52.2,24.9599990844727,24.4
6/30/2016 10:38:00 AM.719,995.2,25.7999992370605,52.2,24.9599990844727,24.4
6/30/2016 10:38:01 AM.719,995.1,25.7999992370605,52.3,24.9400005340576,24.4
6/30/2016 10:38:02 AM.719,995.1,25.7999992370605,52.3,24.9799995422363,24.4
6/30/2016 10:38:03 AM.719,995.2,25.7999992370605,52.4,24.9799995422363,24.4
6/30/2016 10:38:04 AM.719,995.1,25.7999992370605,52.4,24.9599990844727,24.4
6/30/2016 10:38:05 AM.719,995.1,25.7000007629395,52.4,24.9799995422363,24.4
6/30/2016 10:38:06 AM.719,995.1,25.7000007629395,52.3,24.9599990844727,24.4
6/30/2016 10:38:07 AM.719,995.1,25.7000007629395,52.3,24.9599990844727,24.4
6/30/2016 10:38:08 AM.719,995.2,25.7000007629395,52.0,24.9699993133545,24.4
6/30/2016 10:38:09 AM.719,995.2,25.7000007629395,51.9,24.9599990844727,24.4
6/30/2016 10:38:10 AM.719,995.2,25.7000007629395,51.8,24.9300003051758,24.4
6/30/2016 10:38:11 AM.719,995.3,25.7000007629395,51.8,24.9200000762939,24.3
6/30/2016 10:38:12 AM.719,995.2,25.7000007629395,51.8,24.9200000762939,24.3
6/30/2016 10:38:13 AM.719,995.2,25.7000007629395,51.8,24.9099998474121,24.3
6/30/2016 10:38:14 AM.719,995.1,25.7000007629395,51.8,24.9200000762939,24.3
6/30/2016 10:38:15 AM.719,995.0,25.7000007629395,51.8,24.9200000762939,24.3
6/30/2016 10:38:16 AM.719,995.2,25.7000007629395,51.8,24.9200000762939,24.3
6/30/2016 10:38:17 AM.719,995.2,25.7000007629395,51.8,24.9200000762939,24.3
6/30/2016 10:38:18 AM.719,995.1,25.7000007629395,52.0,24.9200000762939,24.3
6/30/2016 10:38:19 AM.719,995.2,25.7000007629395,52.1,24.9200000762939,24.3
