$STATE   145029   143034 16 14 12.00   41  5.86   87 54.50    203.0   145019   0.64  -0.23 -66.39   144855 996.29  33.61   145023   158    63  -722   144991   0.01  -0.00   1.05   141160   5.00     0
$STATE   150030   147031 16 14 16.00   41  5.86   87 54.50    204.0   150022   0.67  -0.26 -66.38   149858 996.27  33.71   150026   159    66  -723   149994   0.01  -0.00   1.05   146412   5.00     2
$STATE   155031   155025 16 14 24.00   41  5.86   87 54.50    204.0   155025   0.67  -0.26 -66.41   154861 996.24  33.79   155029   154    61  -724   154997   0.01  -0.00   1.05   151664   5.00     1
$STATE   160032   159037 16 14 28.00   41  5.86   87 54.50    204.0   160028   0.68  -0.26 -66.43   159863 996.29  33.91   159831   156    63  -724   159999   0.01  -0.01   1.05   156915   5.00     1
$STATE   165033   163031 16 14 32.00   41  5.86   87 54.50    202.0   165031   0.68  -0.26 -66.46   164866 996.25  33.96   164835   159    61  -723   165002   0.01  -0.01   1.05   162167   5.00     0
$STATE   170034   167032 16 14 36.00   41  5.86   87 54.50    202.0   170033   0.67  -0.26 -66.51   169869 996.26  34.04   169837   155    65  -719   170005   0.01  -0.01   1.05   167418   5.00     0
$STATE   175035   175029 16 14 44.00   41  5.86   87 54.50    201.0   174836   0.69  -0.27 -66.55   174872 996.28  34.12   174840   150    61  -723   175008   0.01  -0.01   1.05   172670   5.00     1
$STATE   180036   178978 16 14 48.00   41  5.86   87 54.50    203.0   179838   0.82  -0.12 -62.79   179874 996.33  34.19   179843   146    79  -736   180011   0.01  -0.01   1.05   177922   5.00     2
$STATE   185037   182985 16 14 52.00   41  5.86   87 54.50    202.0   184841   0.23  -0.11 -62.76   184877 996.36  34.25   184845   142    88  -738   185014   0.00  -0.00   1.04   183173   5.00     3
$STATE   190038   186985 16 14 56.00   41  5.86   87 54.50    201.0   189844   0.23  -0.12 -62.72   189880 996.36  34.30   189848   144    83  -745   190016   0.00   0.00   1.05   188425   5.00     2
$STATE   195039   195006 16 15  4.00   41  5.86   87 54.50    199.0   194847   0.27  -0.12 -62.78   194883 996.31  34.38   194851   141    82  -747   195019   0.01  -0.00   1.04   193677   5.00     0
$STATE   200040   198998 16 15  8.00   41  5.86   87 54.50    199.0   199852   0.22  -0.14 -62.80   199888 996.29  34.45   199856   140    87  -743   200022   0.00  -0.00   1.05   198928   5.00     1
$STATE   205041   202994 16 15 12.00   41  5.85   87 54.50    199.0   204854   0.24  -0.11 -62.84   204891 996.33  34.46   204858   141    92  -744   205025   0.00  -0.00   1.05   204180   5.00     2
$STATE   210042   207004 16 15 16.00   41  5.86   87 54.50    198.0   208857   0.24  -0.12 -62.88   209894 996.25  34.51   208861   140    93  -741   210028   0.00  -0.00   1.05   204180   5.00     2
$STATE   215043   214998 16 15 24.00   41  5.86   87 54.50    197.0   214860   0.24  -0.11 -62.91   214897 996.28  34.59   214864   140    90  -742   215031   0.01  -0.00   1.05   214737   5.00     0
$STATE   220044   218967 16 15 28.00   41  5.86   87 54.50    196.0   219863   0.25  -0.12 -62.92   219899 996.29  34.61   219867   140    88  -749   220034   0.00  -0.00   1.05   219988   5.00     1
$STATE   225045   222984 16 15 32.00   41  5.86   87 54.50    196.0   224866   0.24  -0.11 -62.96   224902 996.27  34.64   224870   139    90  -747   225037   0.00  -0.00   1.05   219988   5.00     1
$STATE   230046   227000 16 15 36.00   41  5.86   87 54.50    194.0   229868   0.24  -0.12 -63.00   229905 996.23  34.72   229873   139    93  -740   230040   0.00  -0.00   1.05   225240   5.00     0
$STATE   235047   235000 16 15 44.00   41  5.86   87 54.50    194.0   234872   0.25  -0.12 -63.00   234908 996.29  34.79   234876   141    89  -746   235043   0.00  -0.00   1.05   230492   5.00     1
